CNPJ;Nome_Associacao;Telefone;Estado;Municipio
24.615.102/0001-80;ASSOCIACAO CLUBE DE BENEFICIOS E ASSISTENCIA - TOTTAL CAR;77988819356;BA;VITORIA DA CONQUISTA
19.420.830/0001-04;ASSOCIACAO CLUBE MASTER DE BENEFICIOS;7130241953;BA;LAURO DE FREITAS
39.902.635/0001-10;ASSOCIACAO CMP SELECT;7135992491;BA;SALVADOR
38.203.222/0001-84;ASSOCIACAO DE APOIO AOS PROPRIETARIOS DE VEICULOS DO BRASIL- APOVEL BRASIL;7332923434;BA;TEIXEIRA DE FREITAS
33.183.990/0001-08;ASSOCIACAO DE BENEFICIOS AUTOMOTIVOS;7730288777;BA;VITORIA DA CONQUISTA
23.561.562/0001-00;ASSOCIACAO DE PROTECAO AOS PROPIETARIOS DE VEICULOS DO RECONCAVO - APROVER;7536317045;BA;SANTO ANTONIO DE JESUS
10.809.269/0001-77;ASSOCIACAO DE PROTECAO AS MOTOCICLETAS E AUTOMOVEIS DO ESTADO DA BAHIA;7534225241;BA;ALAGOINHAS
31.316.545/0001-35;ASSOCIACAO DE PROTECAO MUTUA PARA VEICULOS - PROTECT;7536246964;BA;FEIRA DE SANTANA
33.925.290/0001-33;ASSOCIACAO DE PROTECAO MUTUALISTA DE VEICULOS - GRUPO ASSIST AUTO;7136551410;BA;SAO SEBASTIAO DO PASSE
12.751.516/0001-57;ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA E SOCORRO AS MOTOCICLETAS;75999790318;BA;ALAGOINHAS
13.876.866/0001-02;ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA PROTEGE BAHIA;7534222776;BA;ALAGOINHAS
53.652.128/0001-04;ASSOCIACAO DE PROTECAO VEICULAR GOLDEN PROTECT;7530160526;BA;SANTO ANTONIO DE JESUS
35.295.279/0001-62;ASSOCIACAO DE PROTECAO VEICULAR MARTOLI;7141022563;BA;SALVADOR
41.799.712/0001-08;ASSOCIACAO DEFENDER PROTECAO VEICULAR;7533531828;BA;SANTO ANTONIO DE JESUS
19.230.159/0001-20;ASSOCIACAO DOS PROPRIETARIOS DE MOTOCICLETAS DA BAHIA;7734252477;BA;ANAGE
24.678.014/0001-27;ASSOCIACAO DOS PROPRIETARIOS DE MOTOS DO RECONCAVO - APROMOTOS;71999665330;BA;SANTO ANTONIO DE JESUS
32.534.470/0001-21;ASSOCIACAO EDCLUBE.MAIS DE PROTECAO PATRIMONIAL MUTUALISTA;7134329999;BA;SALVADOR
41.943.989/0001-54;ASSOCIACAO IMPACTO CLUBE DE BENEFICIOS;7135997005;BA;SALVADOR
45.413.161/0001-45;ASSOCIACAO JEQUIEENSE PREVMAIS DE BENEFICIOS E SOCORRO MUTUO;71991678900;BA;JEQUIE
36.614.746/0001-32;ASSOCIACAO JEREMOABENSE JUNIOR CLUBE DE PROTECAO PATRIMONIAL MUTUALISTA;75999777820;BA;JEREMOABO
52.750.245/0001-30;ASSOCIACAO MARACAENSE AUTO PROTEGO DE PROTECAO PATRIMONIAL MUTUALISTA BENEFICIOS E SOCORRO MUTUO;73991553864;BA;MARACAS
18.275.126/0001-34;ASSOCIACAO PARA PROMOCAO DE BENEFICIOS AOS PROPRIETARIOS E USUARIOS DE VEICULOS;7531830879;BA;ALAGOINHAS
56.158.266/0001-11;ASSOCIACAO PROTEGE MAIS BAHIA PROTECAO VEICULAR;99999999999;BA;CRUZ DAS ALMAS
26.607.483/0001-80;ASSOCIACAO RENASCER DE PROTECAO PATRIMONIAL MUTUALISTA;71987216569;BA;SALVADOR
48.153.788/0001-00;ASVIPLUS CLUBE DE BENEFICIOS;7730255052;BA;VITORIA DA CONQUISTA
55.703.491/0001-29;AUTOMUTUO - ASSOCIACAO CLUBE DE BENEFICIOS PROTECAO VEICULAR;75997154249;BA;RIBEIRA DO POMBAL
41.108.468/0001-81;BEMCAR PROTECAO VEICULAR CLUBE DE BENEFICIOS;77988223423;BA;VITORIA DA CONQUISTA
42.975.025/0001-50;CBVN - CLUBE DE BENEFICIOS VEICULARES DO NORDESTE;75998760158;BA;RIBEIRA DO POMBAL
05.221.589/0001-71;CEAT CENTRO ESPECIAL DE APOIO AO TAXISTA;7121325632;BA;SALVADOR
30.117.430/0001-59;CLUBE DE BENEFICIOS AUTO BAHIA;7335274637;BA;JEQUIE
34.940.370/0001-20;CLUBE DE BENEFICIOS INVICTUS;71992509096;BA;SALVADOR
61.746.021/0001-45;CPV MUTUAL E BENEFICIOS;77998096300;BA;VITORIA DA CONQUISTA
19.722.119/0001-04;ESCUDO CLUBE DE BENEFICIOS;7131211334;BA;CAMACARI
54.636.229/0001-46;GOLD PREMIUM CLUBE DE BENEFICIOS;7121329821;BA;SALVADOR
34.588.742/0001-00;GRUPO DE BENEFICIOS, SERVICOS E VANTAGENS DOS PROPRIETARIOS DE VEICULOS DO BRASIL;7436511288;BA;CAPIM GROSSO
38.265.171/0001-15;GUARDCAR CLUBE DE BENEFICIOS;77992081707;BA;VITORIA DA CONQUISTA
13.316.737/0001-60;INOVE - ASSOCIACAO BRASILEIRA DE BENEFICIOS AOS TRANSPORTADORES DA BAHIA;7734274468;BA;VITORIA DA CONQUISTA
57.307.455/0001-71;MAIS BRASIL PROTECAO VEICULAR SOCORRO MUTUO E BENEFICIOS;77992069815;BA;VITORIA DA CONQUISTA
58.014.229/0001-65;NUCLEO PROTECAO VEICULAR;73999965892;BA;URUCUCA
20.522.134/0001-80;PREVBAHIA ASSOCIACAO BAIANA DE BENEFICIOS PARA DONOS DE VEICULOS AUTOMOTORES;7131796375;BA;SALVADOR
42.136.390/0001-71;PREVICORP - ASSOCIACAO DE ASSISTENCIA AO SERVIDOR PUBLICO;7131860110;BA;SALVADOR
48.177.520/0001-09;PRIME ASSOCIACAO CONQUISTENSE DE BENEFICIOS;77988152340;BA;VITORIA DA CONQUISTA
25.047.016/0001-80;PRIME-ASSOCIACAO DE APOIO AOS PROPRIETARIOS DE VEICULOS DO SUL DA BAHIA;7332811389;BA;EUNAPOLIS
58.294.898/0001-38;PROTECAO PATRIMONIAL MUTUALISTA ASSOCIACAO SERVCAR BRASIL;7531420880;BA;FEIRA DE SANTANA
34.931.164/0001-54;PROTEGE MAIS AUTO CLUBEE BENEFICIOS;7734221869;BA;VITORIA DA CONQUISTA
48.956.457/0001-09;PV AUTO - PROTECAO VEICULAR;7736281022;BA;LUIS EDUARDO MAGALHAES
35.834.547/0001-77;REDENTO ENTIDADE DE AUTOGESTAO;7736111794;BA;BARREIRAS
27.397.992/0001-99;SENNA PROTECAO PARA AMIGOS;7332127130;BA;ITABUNA
46.321.799/0001-19;SERRA CLUBE DE BENEFICIOS;71991666588;BA;FEIRA DE SANTANA
14.725.537/0001-23;SUPRA-ASSOCIACAO BRASILEIRA DE BENEFICIOS MUTUOS;77991179529;BA;VITORIA DA CONQUISTA
53.354.953/0001-14;TECH PROTEGE AUTO ASSOCIACAO DE PROTECAO VEICULAR;7736111055;BA;BARREIRAS
51.479.553/0001-00;UNIAOCAR AUTOGESTAO;77981151918;BA;CANDIDO SALES
36.117.103/0001-83;ACB PROTECAO PATRIMONIAL;8137714938;CE;MARACANAU
24.216.636/0001-33;ASSOCIACAO AGILIZA CLUBE DE BENEFICIOS - AACB;85998903479;CE;FORTALEZA
17.947.684/0001-36;ASSOCIACAO DE PROTECAO VEICULAR UNIMAIS;88999990054;CE;IGUATU
61.742.262/0001-16;ASSOCIACAO DE SOCORRO MUTUO SUPER BRASIL MARACANAU;85998691485;CE;MARACANAU
55.898.499/0001-98;ASSOCIACAO DE SOCORRO MUTUO TOP BRASIL NE;85988862000;CE;FORTALEZA
61.363.668/0001-98;ASSOCIACAO DE SOCORRO S GROUP AUTO;85989601698;CE;CAUCAIA
48.827.509/0001-39;ASSOCIACAO SOMOS BRASIL CLUBE DE BENEFICIOS;8532713628;CE;EUSEBIO
60.329.755/0001-66;ASTEC PROTECAO VEICULAR;85991690805;CE;BATURITE
61.669.939/0001-38;BLINDAR SEGURANCA MUTUA;85985044898;CE;FORTALEZA
41.512.996/0001-00;DEFEND PROTECAO VEICULAR;85991030878;CE;HORIZONTE
61.756.494/0001-23;DM AUTO PROTECAO;85989526048;CE;FORTALEZA
40.182.229/0001-09;ELEVEN CLUBE DE BENEFICIOS;88993300835;CE;SOBRAL
61.651.551/0001-00;GLOBAL SOLUTIONS PROTECAO VEICULAR;85997121972;CE;FORTALEZA
61.708.320/0001-95;JOTA GARANTE;85998384321;CE;FORTALEZA
52.621.417/0001-75;LEAD CLUBE DE BENEFICIOS;8540426986;CE;FORTALEZA
61.708.352/0001-90;LS PROTECAO MUTUA;85987584649;CE;FORTALEZA
61.722.988/0001-97;MAXX PROTECAO;85987655363;CE;FORTALEZA
56.931.051/0001-91;NEOBRASIL PROTECAO VEICULAR;85985997036;CE;FORTALEZA
55.016.274/0001-60;ONIX ASSOCIACAO DE SOCORRO MUTUO;85981665828;CE;MARACANAU
49.836.377/0001-74;PROTEBENS BENEFICIOS E SOCORRO MUTUO;8532181882;CE;FORTALEZA
61.602.729/0001-22;RWK PROTECAO VEICULAR;85988158929;CE;FORTALEZA
61.669.418/0001-80;SEGUI CLUBE GRUPO DE BENEFICIOS;85988245172;CE;FORTALEZA
61.688.815/0001-08;TEC PRO PROTECAO VEICULAR;88996887147;CE;FORTALEZA
42.879.760/0001-60;VIAFORTE CLUBE DE BENEFICIOS;3132412344;CE;FORTALEZA
61.560.928/0001-15;ZERO85 PROTECAO VEICULAR;85996082809;CE;FORTALEZA
25.013.709/0001-52;ASSOCIACAO BRASILIENSE DE BENEFICIOS AOS PROP. DE VEIC. AUTOMOTORES;6134347200;DF;BRASILIA
55.778.033/0001-59;ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA PROTEC;61984296957;DF;BRASILIA
39.357.869/0001-23;ASSOCIACAO LOCALIZE CLUBE DE BENEFICIOS E DEFESA DE DIREITOS;6135443944;DF;BRASILIA
33.397.038/0001-07;CONEXAO CLUBE DE BENEFICIOS;61998343255;DF;BRASILIA
33.715.240/0001-21;LOCALEZ PROTECAO VEICULAR;61986221116;DF;BRASILIA
58.413.941/0001-37;ROGERS AUTO ASSOCIACAO DE SOCORRO MUTUO;61999438118;DF;BRASILIA
32.506.731/0001-08;ASSOCIACAO CAPIXABA DE PROTECAO PATRIMONIAL MUTUALISTA;27998053668;ES;VITORIA
07.347.356/0001-45;ASSOCIACAO CAPIXABA DOS TRANSPORTADORES DE CARGAS - ASCATRAN;2732844450;ES;CARIACICA
31.858.281/0001-41;ASSOCIACAO CONFIANCA DE PROTECAO AOS AUTOMOVEIS DO BRASIL - CONFIAUTO;2735001994;ES;CARIACICA
18.361.851/0001-25;ASSOCIACAO DE PROTECAO AO CAMINHONEIRO-ASSPROCAM;2737270350;ES;SAO GABRIEL DA PALHA
53.554.797/0001-35;ASSOCIACAO DE PROTECAO, BENEFICIO E ASSISTENCIA DO BRASIL - APBAB;27992481371;ES;VILA VELHA
08.715.345/0001-33;ASSOCIACAO DOS PROPRIETARIOS DOS VEICULOS PESADOS - AVEP;2732552717;ES;CARIACICA
40.951.290/0001-73;ASSOCIACAO JAGUAR PROTECAO VEICULAR;27997115081;ES;CARIACICA
20.423.263/0001-10;ATC - ASSOCIACAO DOS TRANSPORTADORES DE CARGAS;27981823501;ES;BAIXO GUANDU
36.830.994/0001-10;BRCAR ASSOCIACAO DE PROTECAO VEICULAR;2730705835;ES;SERRA
29.278.313/0001-98;CARPLUS PREMIUM CLUBE DE BENEFICIOS;27998447565;ES;CARIACICA
16.898.059/0001-89;CLUBE ACERTA;62999356544;ES;VILA VELHA
51.016.444/0001-56;MB PROTECAO VEICULAR;27999550041;ES;VILA VELHA
61.735.156/0001-05;UNION ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;21999671227;ES;SERRA
58.529.958/0001-54;YES PROTECAO PATRIMONIAL MUTUALISTA;31983630220;ES;VILA VELHA
51.906.435/0001-30;9EIXOS BRASIL - ASSOCIACAO DE SOCORRO MUTUO;62985171000;GO;GOIANIA
24.536.487/0001-90;AAGO - ASSOCIACAO DOS AMIGOS DE GOIAS;6430506621;GO;RIO VERDE
29.214.858/0001-30;APROTEV - ASSOCIACAO DE PROTECAO VEICULAR E BENEFICIOS;62983116060;GO;APARECIDA DE GOIANIA
46.315.379/0001-20;ASSOCIACAO APREVENT PROTECAO VEICULAR;62995713535;GO;GOIANIA
30.491.469/0001-31;ASSOCIACAO DE APOIO, SOCORRO MUTUO E INCLUSAO SOCIAL - MMB GOYAZ;6232874569;GO;GOIANIA
51.018.626/0001-66;ASSOCIACAO DE AUTOGESTAO E BENEFICIOS MUTUOS DOS MOTORISTAS DE GOIAS;61996532612;GO;AGUAS LINDAS DE GOIAS
20.928.609/0001-32;ASSOCIACAO DE BENEFICIOS E ASSISTENCIA AOS AUTONOMOS E PROFISSIONAIS LIBERAIS - TRINITI;6235796668;GO;GOIANIA
18.504.895/0001-67;ASSOCIACAO DE BENEFICIOS E SOCORRO MUTUO PARA PROPRIETARIOS DE VEICULOS PESADOS - MAX TRUCK;6232911119;GO;GOIANIA
29.645.031/0001-81;ASSOCIACAO DE PROTECAO E BENEFICIO AO PROPRIETARIO DE VEICULOS;62981597133;GO;APARECIDA DE GOIANIA
23.414.716/0001-30;ASSOCIACAO DE PROTECAO PATRIMONIAL E AMPARO AOS TRABALHADORES TERCEIRIZADOS E AUTONOMOS DE GOIAS - SOLIDY;6239565800;GO;APARECIDA DE GOIANIA
52.437.874/0001-04;ASSOCIACAO DE PROTECAO PATRIMONIAL ELEVAMAIS;62991218007;GO;GOIANIA
54.801.882/0001-13;ASSOCIACAO DE PROTECAO VEICULAR BLINTEC;62981565222;GO;GOIANIA
49.998.267/0001-09;ASSOCIACAO DE PROTECAO VEICULAR E SOCORRO MUTUO E BENEFICIOS 7 MARES;6236372772;GO;GOIANIA
33.388.597/0001-42;ASSOCIACAO DE PROTECAO VEICULAR E SOCORRO MUTUO E BENEFICIOS GRUPO GUERREIRO;6236375504;GO;GOIANIA
19.320.123/0001-38;ASSOCIACAO GOIANA DE PROTECAO PATRIMONIAL AOS PROPRIETARIOS DE VEICULOS AUTOMOTORES E ELETRICOS - MAXCAR;6236223864;GO;GOIANIA
36.071.797/0001-65;ASSOCIACAO ROTA GOIAS DE APOIO A TRANSPORTADORES DE CARGA;64984158881;GO;BOM JESUS DE GOIAS
55.858.809/0001-40;ASSOCIE BEM;6232817587;GO;GOIANIA
34.430.893/0001-27;AUTO VIP BENEFICIOS ASSOCIACAO DOS PROPRIETARIOS DE VEICULOS MOTORIZADOS DO BRASIL;6233534000;GO;SAO FRANCISCO DE GOIAS
09.345.591/0001-03;AUTOBRAS PROTECAO PATRIMONIAL MUTUALISTA;63984551571;GO;GOIANIA
51.855.731/0001-50;AUTON PROTECAO VEICULAR E BENEFICIOS;62982016337;GO;GOIANIA
19.529.677/0001-40;AUTOVIP-ASSOCIACAO DOS PROPRIETARIOS DE VEICULOS PESADOS DO BRASIL;6233534880;GO;GOIANESIA
48.494.617/0001-37;CLUBE MUNDIAL;1147484378;GO;GOIANIA
59.567.855/0001-41;GRUPO CANAA - ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;6232389161;GO;GOIANIA
41.479.683/0001-99;GRUPO ELLO ASSOCIACAO E CLUBE DE BENEFICIOS;6240161040;GO;GOIANIA
59.885.956/0001-60;GTA PROTECAO MUTUALISTA;6231571440;GO;GOIANIA
49.669.441/0001-70;HELP CAR CLUBE DE BENEFICIOS;62984631478;GO;GOIANIA
50.634.479/0001-96;LIZ BENEFICIOS E SOCORRO MUTUO;62994403404;GO;NEROPOLIS
45.347.526/0001-80;MEGA PROTECAO VEICULAR & CLUBE DE BENEFICIOS - ASSOCIACAO NACIONAL DOS PROPRIETARIOS DE VEICULOS;6436230200;GO;RIO VERDE
54.490.868/0001-46;MOOVE ASSOCIACAO COLABORATIVA DO BRASIL;62993233680;GO;APARECIDA DE GOIANIA
50.589.634/0001-08;PROTEGE CAR PROTECAO MUTUALISTA;6232517032;GO;GOIANIA
49.139.682/0001-07;RAIO SOCORRO MUTUO;62999698240;GO;GOIANIA
53.242.223/0001-21;RISCO ZERO ASSOCIACAO E CLUBE DE BENEFICIOS;62991518585;GO;APARECIDA DE GOIANIA
60.691.174/0001-70;ROYALE ASSOCIADOS;62994040918;GO;GOIANIA
52.991.693/0001-25;SAAMS - CLUBE DE BENEFICIOS;62986060505;GO;GOIANIA
44.316.525/0001-06;TC TRACKER ASSOCIADOS;1147760013;GO;GOIANIA
60.545.961/0001-03;TODOS BENS PROTEGIDOS VALPARAISO DE GOIAS ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;6236023668;GO;VALPARAISO DE GOIAS
39.759.480/0001-04;TOWER ASSOCIACAO DE RATEIO DE DESPESAS OCORRIDAS E BENEFICIOS;62999246909;GO;GOIANIA
61.741.601/0001-40;VERSELL BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;62998660545;GO;GOIANIA
45.364.598/0001-36;ALTIS NORDESTE PROTECAO VEICULAR E BENEFICIOS;62982130836;MA;ESTREITO
43.182.794/0001-64;APROV-BEN BRASIL ASSOCIACAO DE PROTECAO VEICULAR E BENEFICIOS;11991227640;MA;SAO LUIS
23.010.930/0001-21;ATGB - ASSOCIACAO DOS TRANSPORTADORES DE GRAOS DO BRASIL;99988338929;MA;BALSAS
49.210.712/0001-24;FORTVIA;99981090195;MA;BALSAS
24.441.088/0001-45;ABRANGE - ASSOCIACAO DOS CONDUTORES DE VEICULOS DO ESTADO DE MINAS GERAIS;3130553037;MG;BELO HORIZONTE
13.269.838/0001-27;ABV - ASSOCIACAO DE BENEFICIOS E FACILIDADES;3125266238;MG;BELO HORIZONTE
33.504.510/0001-55;ADM - CLUBE DE BENEFICIOS;31998612515;MG;CONTAGEM
32.918.077/0001-31;AGRATER ASSOCIACAO DOS GRANELEIROS PARA COBERTURA DE TERCEIROS;3735223426;MG;BOM DESPACHO
21.577.171/0001-58;AGV BRASIL ASSOCIACAO DE AUTOGESTAO VEICULAR;3134433322;MG;BELO HORIZONTE
45.332.790/0001-40;ALIANCA LEVES - PROTECAO VEICULAR;3131763061;MG;DIVINOPOLIS
25.358.772/0001-20;ALIAR PROTECAO PATRIMONIAL MUTUALISTA;3138253836;MG;IPATINGA
61.619.010/0001-02;ALIARE ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;34991485485;MG;UBERLANDIA
51.190.323/0001-26;ALLIANCES PROTECAO VEICULAR;3123000606;MG;IPATINGA
31.279.012/0001-20;ALLSEG PROTECAO CIDADA;31973111956;MG;CONTAGEM
17.295.105/0001-18;AMAIS ASSOCIACAO DE PROTECAO VEICULAR;3125676868;MG;CONTAGEM
22.794.685/0001-28;AMPAR - ASSOCIACAO DOS CONDUTORES DE VEICULOS DO SUDESTE BRASILEIRO;32998260000;MG;SAO JOAO NEPOMUCENO
16.716.457/0001-37;AMPARUS;31981029898;MG;BELO HORIZONTE
55.422.482/0001-60;ANG PROTECAO VEICULAR;3122222222;MG;BELO HORIZONTE
26.066.671/0001-49;ANGLO ASSCAR ASSISTENCIA;3125674941;MG;CONTAGEM
57.238.527/0001-76;APROVTRUCK ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;31992946493;MG;CONTAGEM
18.056.261/0001-99;APVS TRUCK;1148583425;MG;BELO HORIZONTE
13.124.541/0001-73;ASCOBRAS - ASSOCIACAO DOS CONDUTORES DE VEICULOS DO BRASIL;3133222645;MG;CONTAGEM
21.606.321/0001-04;ASPROAUTO PROTECAO VEICULAR DO BRASIL;31996069758;MG;CONTAGEM
26.606.436/0001-12;ASSEGURAR CLUBE DE BENEFICIOS;3125721112;MG;BETIM
34.360.447/0001-93;ASSOCEG ASSOCIACAO DOS CEGONHEIROS DE MINAS GERAIS;3141274553;MG;BETIM
09.184.158/0001-33;ASSOCIACAO APOIO MINEIRO DE PROTECAO AOS PROPRIETARIOS DE VEICULOS;3232138978;MG;JUIZ DE FORA
62.874.219/0001-77;ASSOCIACAO ASSISTENCIAL FAMILIA BANDEIRANTE;3125526152;MG;BELO HORIZONTE
23.706.857/0001-27;ASSOCIACAO AUTOCLASS - GRUPO DE PROTECAO PATRIMONIAL MUTUALISTA;3133094596;MG;BELO HORIZONTE
37.714.865/0001-20;ASSOCIACAO BOM SUCESSO DE AJUDA MUTUA E BENEFICIOS;31996257296;MG;BETIM
13.436.610/0001-84;ASSOCIACAO BRASILEIRA DE INCLUSAO AUTOGESTAO DE BENEFICIOS;3130241418;MG;BELO HORIZONTE
18.353.100/0001-67;ASSOCIACAO BRASILEIRA DE TRANSPORTADORES;3433111919;MG;UBERABA
61.619.198/0001-80;ASSOCIACAO BRASILEIRA DE TRANSPORTE ROTA SEGURA;31971536885;MG;SANTA BARBARA
55.580.295/0001-04;ASSOCIACAO CLUB PRO MAIS;3125801780;MG;BELO HORIZONTE
21.092.404/0001-22;ASSOCIACAO CLUBE CAR BETIM;31988887424;MG;BETIM
19.531.604/0001-92;ASSOCIACAO CLUBE MAIS VANTAGENS;3332710911;MG;GOVERNADOR VALADARES
08.329.867/0001-05;ASSOCIACAO DE AJUDA MUTUA E GUARDA DE ASSOCIADOS - AGUARDA;3125579303;MG;BELO HORIZONTE
18.127.140/0001-90;ASSOCIACAO DE AMPARO E SOCORRO MUTUOS;3132713121;MG;BETIM
46.450.558/0001-70;ASSOCIACAO DE APOIO AO GRANDE TRANSPORTE MINEIRO;38999379000;MG;CHAPADA GAUCHA
11.339.623/0001-00;ASSOCIACAO DE APOIO AOS TRANSPORTADORES DE CARGAS DE MINAS E GOIAS - ANATRAMG;3432267707;MG;UBERLANDIA
09.540.224/0001-60;ASSOCIACAO DE AUTOMOVEIS E VEICULOS PESADOS - AUTO-TRUCK;3137891127;MG;BELO HORIZONTE
10.226.266/0001-00;ASSOCIACAO DE BENEFICIOS - UNICAR;31985110901;MG;BELO HORIZONTE
12.440.088/0001-41;ASSOCIACAO DE BENEFICIOS AOS TRANSPORTADORES DE CARGA DO VALE DO PIRANGA - TRUCKVALE;3138176765;MG;PONTE NOVA
29.103.721/0001-09;ASSOCIACAO DE BENEFICIOS E ASSISTENCIA PARA MOTORISTAS E PROPRIETARIOS DE VEICULOS AUTOMOTORES DE SETE LAGOAS - ASVEL;31992028003;MG;SETE LAGOAS
07.959.587/0001-00;ASSOCIACAO DE BENEFICIOS E PROTECAO AO AMIGO CAMINHONEIRO - ABPAC;3135920052;MG;BETIM
50.855.968/0001-78;ASSOCIACAO DE BENEFICIOS MOOVE PROTECAO VEICULAR;31998914359;MG;BELO HORIZONTE
12.275.168/0001-99;ASSOCIACAO DE CAMINHONEIROS BR TRUCK;3732360060;MG;PARA DE MINAS
40.802.705/0001-47;ASSOCIACAO DE CAMINHONEIROS PRIME TRUCK;3122128000;MG;SETE LAGOAS
